gvkey,tic,cusip,conm,cik
29168,VNLA,47103U886,JANUS HENDERSON SHRT DUR ETF,
29170,MACE,554335208,MACE SECURITY INTL INC,912607
29175,EHMEF,380355107,GOEASY LTD,
29180,LVHE,52468L604,LEGG MASON EMERGING MRKT ETF,
29191,ICHR,G4740B105,ICHOR HOLDINGS LTD,1652535
29194,TEO,879273209,TELECOM ARGENTINA,932470
29206,FWRD,349853101,FORWARD AIR CORP,912728
29207,BYSI,G10830100,BEYONDSPRING INC,1677940
29210,MZA.2,09254K109,BLACKROCK MNIYLD ARIZ FD INC,911308
29211,BPFH,101119105,BOSTON PRIVATE FINL HOLDINGS,821127
29215,FST.,337331102,FIRST TRST CNDN CPTL STR ETF,
29217,RDUS,806882106,RADIUS RECYCLING INC,912603
29218,ATRX,00687E406,ADHERA THERAPEUTICS INC,737207
29219,HIO,95766K109,WESTERN ASST HI INCM OPP FND,910068
29222,BNDC,33939L670,FLEXSHARES CORE SELECT BND,
29241,VIAV,925550105,VIAVI SOLUTIONS INC,912093
29251,KALV,483497103,KALVISTA PHARMACEUTICALS,1348911
29275,PRTH,74275G107,PRIORITY TECHNLGY HLDNGS INC,1653558
29282,NYCB,649445400,NEW YORK CMNTY BANCORP INC,910073
29286,BBAR,058934100,BANCO BBVA ARGENTINA SA,913059
29293,MBOT,59503A204,MICROBOT MEDICAL INC,883975
29300,WVFC,929358109,WVS FINANCIAL CORP,910679
29321,IDHD,46138E248,INVESCO S&P INT DEV HIGH ETF,
29326,XSHD,46138E131,INVESCO S&P SMCP DIV VL ETF,
29332,PRKR,701354300,PARKERVISION INC,914139
29359,SUI,866674104,SUN COMMUNITIES INC,912593
29364,ESGU,46435G425,ISHARES TRUST ISHARES ESG AW,
29375,CASSQ,14713L102,CASA SYSTEMS INC,1333835
29378,BEST,08653C601,BEST INC,1709505
29382,SHOO,556269108,MADDEN STEVEN LTD,913241
29383,TNTHF,25374Q404,DIFFERENCE CAPITAL FINANCIAL,
29389,SPG,828806109,SIMON PROPERTY GROUP INC,1063761
29392,EMN,277432100,EASTMAN CHEMICAL CO,915389
29399,RA,112830104,BROOKFIELD REAL ASTS INCM FD,1655099
29405,VSHY,92790A207,VIRTUS NWFLT SH DR HGH YD BD,
29412,RMT,780915104,ROYCE MICRO-CAP TRUST INC,912147
29418,NDRA,29273B401,ENDRA LIFE SCIENCES INC,1681682
29421,HYLB,233051432,XTRACKERS USD HG YLD CRP BND,
29430,HXX.,37964C109,GLOBAL EURO 50 INDEX COR ETF,
29442,URYL,91139G107,UNITED ROYALE HOLDINGS CORP,1652842
29444,NFLY,88634T782,YIELDMAX NFLX OPT INC ST ETF,
29449,UFPT,902673102,UFP TECHNOLOGIES INC,914156
29453,LNG,16411R208,CHENIERE ENERGY INC,3570
29466,FBSI,318687100,FIRST BANCSHARES INC/MO,912967
29476,THTX,88338H704,THERATECHNOLOGIES INC,1512717
29478,ATS,00217Y104,ATS CORP,1394832
29499,AFBI,00832E103,AFFINITY BANCSHARES INC,1823406
29508,PCSB,69324R104,PCSB FINANCIAL CORP,1691337
29510,DIVO,032108409,AMPLIFY CWP ENHANCED DV INCM,
29512,NULG,67092P201,NUVEEN ESG LRG-CAP GRWT ETF,
29513,KSBI,48266R207,KS BANCORP INC,912764
29517,MED,58470H101,MEDIFAST INC,910329
29518,NULV,67092P300,NUVEEN ESG LARG-CAP VLUE ETF,
29519,NUMG,67092P409,NUVEEN ESG MID-CAP GRWTH ETF,
29520,NUMV,67092P508,NUVEEN ESG MID-CAP VALUE ETF,
29521,NUSC,67092P607,NUVEEN ESG SMALL-CAP ETF,
29524,NEX,65290C105,NEXTIER OILFIELD SOLUTNS INC,1688476
29531,ALPP,02083E204,ALPINE 4 HOLDINGS INC,1606698
29535,JHMD,47804J859,JOHN HANCOCK MF DVD INTL ETF,
29537,TRVG,89686D303,TRIVAGO NV,1683825
29538,COWZ,69374H881,PACER US CASH COWS 100 ETF,
29551,NURE,67092P706,NUVEEN SHORT-TERM REIT ETF,
29552,BOWFF,096631106,BOARDWALK REAL ESTATE TRUST,1129929
29555,UGI1,902691005,UGI UTILITIES INC,100548
29558,PIXY,82452L401,SHIFTPIXY INC,1675634
29565,JAG.1,47009K107,JAGGED PEAK ENERGY INC,1685715
29568,WBIY,00400R858,WBI POWER FACTOR HGH DIV ETF,
29569,YTRA,G98338109,YATRA ONLINE INC,1516899
29573,FIV,33740K101,FIRST TRUST SR FLTG RT 2022,1687081
29576,NODK,65342T106,NI HOLDINGS INC,1681206
29598,ICCH,44931Q104,ICC HOLDING INC,1681903
29609,HAIN,405217100,HAIN CELESTIAL GROUP INC,910406
29621,STCN,858098205,STEEL CONNECT INC,914712
29636,VVPR,G9376R209,VIVOPOWER INTERNATIONAL PLC,1681348
29649,MAA,59522J103,MID-AMERICA APT CMNTYS INC,912595
29665,OUSM,00162Q395,OSHARES US SMALL CAP Q D ETF,
29666,INSE,45782N108,INSPIRED ENTERTAINMENT,1615063
29670,METC,75134P600,RAMACO RESOURCES INC,1687187
29675,DWOG,243798105,DEEP WELL OIL & GAS INC,869495
29680,WTTR,81617J301,SELECT WATER SOLUTIONS INC,1693256
29681,INFR.2,52468L703,LEGG MASON GLOBAL INFSTR ETF,
29684,JNCE,481116101,JOUNCE THERAPEUTICS INC,1640455
29687,APEN,03767D108,APOLLO ENDOSURGERY INC,1251769
29692,WEBC,947621207,WEBCO INDUSTRIES INC,916314
29698,SGMA,82661L101,SIGMATRON INTERNATIONAL INC,915358
29705,DAKT,234264109,DAKTRONICS INC,915779
29714,ATXMF,00756J401,ADVANTEX MARKETING INTL INC,
29718,OBSVF,H5861P103,OBSEVA SA,1685316
29721,MATH,G28365107,METALPHA TECHNOLOGY HLDG LTD,1682241
29722,DSPG,23332B106,DSP GROUP INC,915778
29724,IFN,454089103,INDIA FUND INC,917100
29733,MLM,573284106,MARTIN MARIETTA MATERIALS,916076
29734,MINI,60740F105,MOBILE MINI INC,911109
29736,TSCO,892356106,TRACTOR SUPPLY CO,916365
29744,IIF,61745C105,MORGAN STAN INDIA INVT FUND,916618
29749,RVRF,76821P101,RIVER FINANCIAL CORP,1641601
29751,ALB,012653101,ALBEMARLE CORP,915913
29752,TRUFF,75671E109,RED LIGHT HOLLAND CORP,1836747
29755,BZH,07556Q881,BEAZER HOMES USA INC,915840
29758,TRWRF.,891069106,TORINO POWER SOLUTIONS INC,
29760,KRP,49435R102,KIMBELL ROYALTY PARTNERS LP,1657788
29762,ARTX,042682203,AROTECH CORP,916529
29769,PBEGF,89156L108,TOUCHSTONE EXPLORATION INC,1304277
29771,DFNL,23908L108,DAVIS SELECT FINANCIAL ETF,
29772,NIHK,92656A101,VIDEO RIVER NETWORKS INC,1084475
29787,TBLL,46138G888,INVESCO SHORT TERM TREAS ETF,
29789,ARCAY,03923E107,ARCADIS NV,913596
29790,DUSA,23908L207,DAVIS SELECT U.S. EQUITY ETF,
29794,DWLD,23908L306,DAVIS SELECT WORLDWIDE ETF,
29804,IVZ,G491BT108,INVESCO LTD,914208
29817,HVBC,40441H105,HV BANCORP INC,1594555
29820,SRGMF,M4R68K103,FALCON ENERGY MATERIALS PLC,
29830,WRK,96145D105,WESTROCK CO,1732845
29835,FBM,350392106,FOUNDATION BLDG MRL INC,1688941
29837,BCRX,09058V103,BIOCRYST PHARMACEUTICALS INC,882796
29839,APTL,011764206,ALASKA POWER & TELEPHONE CO,3270
29842,HARC.,44053H205,HORIZONS ABSOLUT RTN GBL CRN,
29848,CUMB,26923G871,ETFIS SRS-VTS CLD MCL BD ETF,
29850,TV,40049J206,GRUPO TELEVISA SAB,912892
29855,FMNB,309627107,FARMERS NATL BANC CORP/OH,709337
29868,MAC,554382101,MACERICH CO,912242
29870,ZEUS,68162K106,OLYMPIC STEEL INC,917470
29875,AVB,053484101,AVALONBAY COMMUNITIES INC,915912
29888,MEE.,55453Q108,MACKENZI MAX DVN EMG MKT INX,
29894,NNBR,629337106,NN INC,918541
29901,CPRT,217204106,COPART INC,900075
29910,SCSC,806037107,SCANSOURCE INC,918965
29912,RCS,72200X104,PIMCO STRATEGIC INCOME FUND,916183
29913,CMRB,31985R104,FIRST COMMERCE BANCORP INC,
29914,LPTX,52187K200,LEAP THERAPEUTICS INC,1509745
29917,CEFC,202216107,COMMERCIAL NATIONAL FINL CP,828535
29930,MPAA,620071100,MOTORCAR PARTS OF AMER INC,918251
29941,DXC.,26788T109,DYNAMIC ACTIVE CANDN DIV ETF,
29943,DXO.,26789J100,DYNAMIC ACTIVE CRSSVR BD ETF,
29944,BMBN,08160E207,BENCHMARK BANKSHARES INC,804563
29945,DYAGF,26800B102,DYNAMIC ACTIVE GLOBL DIV ETF,
29946,LARK,51504L107,LANDMARK BANCORP INC/KS,1141688
29947,DXP.,26800U100,DYNAMIC ACTIVE PFD SH ETF,
29951,BIIAF,119918100,BUHLER INDUSTRIES INC,
29955,BHC,071734107,BAUSCH HEALTH COMPANIES INC,885590
29956,DXU.,26801J104,DYNAMIC ACTIVE U.S. DIV ETF,
29962,LMNR,532746104,LIMONEIRA CO,1342423
29964,GPIC,36467A107,GAMING PARTNERS INTL CORP,918580
29968,AKS,001547108,AK STEEL HOLDING CORP,918160
29970,QXGG,66538H732,NORTHERN LT -QTX RSK MNG GWH,
29977,QXTR,66538H716,NORTHERN LT-QTX ML-AST TL RN,
29984,PLD,74340W103,PROLOGIS INC,1045609
29985,STN,85472N109,STANTEC INC,1131383
29986,XUSA,66538H690,NORTHERN LT FD-QTX DYC US EY,
29987,FLIO,35473P702,FRANKLIN TPLTN ETF TST-FN LR,
29991,JPT,67075T105,NUVEEN PREFERRED AND IN FUND,1679033
29994,FMBH,320866106,FIRST MID BANCSHARES INC,700565
30004,INVH,46187W107,INVITATION HOMES INC,1687229
30007,VVUSQ,928551308,VIVUS INC,881524
30010,FRHHF,35805P107,FRESHII INC,1566256
30024,TIGO,L6388F110,MILLICOM INTL CELLULAR SA,912958
30030,SILC,M84116108,SILICOM LTD,916793
30032,EXP,26969P108,EAGLE MATERIALS INC,918646
30033,GLDW,98149E105,WORLD GOLD TRUST SPDR LG ETF,
30038,QGL.,00110J105,AGFIQ GLOBAL EQ ETF PORTFLIO,
30039,QCD.,00848G100,AGF SYSTMATIC CDN EQUITY ETF,
30040,QEM.,00850F107,AGF SYSTEMATIC EMG MK EQ ETF,
30045,QIE.,00851M101,AGF SYSTEMATIC INTL EQTY ETF,
30046,QMA.,00111B101,AGFIQ GLOBAL BALNCD ETF PORT,
30048,QUS.,00850E100,AGF SYSTEMATIC US EQUITY ETF,
30055,SMBC,843380106,SOUTHERN MISSOURI BANCP INC,916907
30059,AEO,02553E106,AMERN EAGLE OUTFITTERS INC,919012
30062,QMY.,00111A103,AGFIQ GLOBAL INCOME ETF PORT,
30067,ADC,008492100,AGREE REALTY CORP,917251
30075,VET,923725105,VERMILION ENERGY INC,1293135
30076,HLNE,407497106,HAMILTON LANE INC,1433642
30082,DNBF,233237106,DNB FINANCIAL CORP,713671
30091,SNAP,83304A106,SNAP INC,1564408
30092,DQWS,26251W100,DSWISS INC,1652561
30098,IR,45687V106,INGERSOLL RAND INC,1699150
30114,HFY.,40738L108,HAMILTON GBL FNCL YD,
30125,VCB.,92210P107,VANGUARD CANADIAN CPT BD INX,
30126,VGV.,92210N102,VANGUARD CANADIAN GVT BD IDX,
30129,VLB.,92211H104,VANGUARD CANADIAN LT BD INX,
30133,VSG.,92207Y103,VANGUARD CANADAN ST GT BD IX,
30137,NKTR,640268108,NEKTAR THERAPEUTICS,906709
30140,LYBC,552112104,LYONS BANCORP INC,816332
30145,PUMP,74347M108,PROPETRO HOLDING CORP,1680247
30146,ITG,46145F105,INVESTMENT TECHNOLOGY GP INC,920424
30147,PFFR,26923G400,INFRACAP REIT PREFERRED ETF,
30170,FLEX,Y2573F102,FLEX LTD,866374
30175,DVCR,255104101,DIVERSICARE HEALTHCARE SVCS,919956
30182,ZWCCF,05591D105,BMO CANADIAN HIGH DVD CVD CL,
30190,ZHP.,09661J109,BMO US PRFRD SHR HGD CAD IX,
30196,ZUP.,05591C107,BMO US PREFERRED SHARE INDEX,
30201,ZPH.,05583V105,BMO US PUT WRITE HDGD TO CAD,
30202,ADVZF,00791E102,ADVENTUS MINING CORP,1693824
30209,STKR,743465106,PROPHOTONIX LTD,94538
30211,XMX,97717X222,WISDOMTREE TST-GBL MXO EQ FD,
30217,RKIGF,75941H106,REKO INTERNATIONAL GROUP INC,
30218,BSAC,05965X109,BANCO SANTANDER-CHILE,1027552
30220,SYPR,871655106,SYPRIS SOLUTIONS INC,864240
30222,ABCB,03076K108,AMERIS BANCORP,351569
30223,SACH,78590A109,SACHEM CAPITAL CORP,1682220
30232,CUBA,42804T106,HERZFELD CARIBBEAN BASIN FD,880406
30236,APHB,03211P301,AMPLIPHI BIOSCIENCES CORP,
30241,TELL,87968A104,TELLURIAN INC,61398
30242,CEGMF,156867103,CERRO GRANDE MINING CORP,
30256,GNOM,37954Y434,GLOBAL X GENOM & BIOTECH ETF,
30259,PENN,707569109,PENN ENTERTAINMENT INC,921738
30260,SSD,829073105,SIMPSON MANUFACTURING INC,920371
30262,IFMK,449538107,IFRESH INC,1681941
30280,REKR,759419104,REKOR SYSTEMS INC,1697851
30281,LJPC,503459604,LA JOLLA PHARMACEUTICAL CO,920465
30284,LBRT,53115L104,LIBERTY ENERGY INC,1694028
30288,BOSS,37954Y681,GLOBAL X FOUNDER-RUN COM ETF,
30290,EBLU,56167N753,ECOFIN GLOBAL WATER ESG FUND,
30292,FIXD,33740F805,FIRST TR EXG-TD FD-OT FX ICM,
30293,ESS,297178105,ESSEX PROPERTY TRUST,920522
30297,HYLV,45409B412,INDEXIQ ETF TR IQ S&P HGH Y,
30298,HIW,431284108,HIGHWOODS PROPERTIES INC,921082
30311,VRDN,92790C104,VIRIDIAN THERAPEUTICS INC,1590750
30312,IMAX,45245E109,IMAX CORP,921582
30339,GRMC,381431105,GOLDRICH MINING CO,59860
30354,LPT,531172104,LIBERTY PROPERTY TRUST,921112
30360,PSMB,46090A200,INVESCO BALANCED MLT-AST ETF,
30362,PSMC,46090A309,INVESCO CONSERVA MLT-AST ETF,
30366,PSMG,46090A408,INVESCO GRWTH MLT-AST AL ETF,
30367,PSMM,46090A507,INVESCO MDTLY CNS AST AL ETF,
30369,CIXXF,125491100,CI FINANCIAL CORP,1829948
30384,FR,32054K103,FIRST INDL REALTY TRUST INC,921825
30385,SUPGF,86816U106,SUPERIOR GOLD INC,1687757
30395,BGIO,09258P104,BLACKROCK 2022 GLB IM OY TST,1691433
30397,HCC,93627C101,WARRIOR MET COAL INC,1691303
30398,FALC,306137209,FALCONSTOR SOFTWARE INC,922521
30401,NETS,G6455X107,NETSHOES CAYMAN LTD,1562767
30407,BLES,66538H658,INSPIRE GLOBAL HOPE ETF,
30408,ISMD,66538H641,INSPIRE SMALL/MID CAP ETF,
30416,HMNF,40424G108,HMN FINANCIAL INC,921183
30421,STLJF,85853F105,STELLA-JONES INC,1487936
30428,AMRQQ,02133L109,ALTA MESA RESOURCES INC,1690769
30432,CNUCF,138909304,CANUC RESOURCES CORP,1724148
30433,GRNB,92189F171,VANECK GREEN BOND ETF,
30435,JILL,46620W201,J JILL INC,1687932
30436,AKO.B,29081P303,EMBOTELLADORA ANDINA SA,925261
30443,FDP,G36738105,FRESH DEL MONTE PRODUCE INC,1047340
30449,IPA,45257F200,IMMUNOPRECISE ANTIBODIES LTD,1715925
30452,BBD,059460303,BRADESCO BANCO,1160330
30457,IBML,46435G318,ISHARES TRUST IBONDS DEC2023,
30463,GBX,393657101,GREENBRIER COS INC (THE),923120
30472,PAVE,37954Y673,GLOBAL X US INFRTRCTR DVLPNT,
30473,XPL,8342EP107,SOLITARIO RESOURCES CORP,917225
30477,MATW,577128101,MATTHEWS INTL CORP  -CL A,63296
30490,AIV,03748R747,APARTMENT INVST & MGMT CO,922864
30501,KB,48241A105,KB FINANCIAL GROUP,1445930
30529,APF,61744U106,MORGAN STAN ASIA PACIFIC FD,919808
30536,GEO,36162J106,GEO GROUP INC,923796
30538,EOCCY,29244T101,ENEL GENERACION CHILE SA,926864
30547,SOI,83418M103,SOLARIS OILFIELD IF INC,1697500
30554,TARO,M8737E108,TARO PHARMACEUTICL INDS LTD,906338
30558,MLR,600551204,MILLER INDUSTRIES INC/TN,924822
30560,GOOS,135086106,CANADA GOOSE HLDG,1690511
30571,ARD,L0223L101,ARDAGH GROUP SA,1689662
30572,TMRC,88256L109,TEXAS MINERAL RESOURCES CORP,1445942
30573,ESXMF,68387G104,OPTEGRA VENTURES INC,1815785
30576,ADTN,00486H105,ADTRAN HOLDINGS INC,926282
30580,ITUB,465562106,ITAU UNIBANCO HLDG SA,1132597
30588,CEFS,30151E806,SABA CLOSED-END FUNDS ETF,
30612,AMED,023436108,AMEDISYS INC,896262
30614,EFOI,29268T508,ENERGY FOCUS INC,924168
30616,KATX,48238M203,KAT EXPLORATION INC,1474558
30622,YEXT,98585N106,YEXT INC,1614178
30637,VRE,554489104,VERIS RESIDENTIAL INC,924901
30647,PNBK,70336F203,PATRIOT NATIONAL BANCORP INC,1098146
30651,DAR,237266101,DARLING INGREDIENTS INC,916540
30655,AYX,02156B103,ALTERYX INC,1689923
30658,IDEV,46435G326,ISHARES CORE MSCI INT MA ETF,
30662,SIRI,829933100,SIRIUS XM HOLDINGS INC,2003397
30664,HEXO,428304406,HEXO CORP,1690947
30666,WVVI,969136100,WILLAMETTE VALLEY VINEYARDS,838875
30671,RS,759509102,RELIANCE INC,861884
30683,TDF,88018T101,TEMPLETON DRAGON FUND INC,919893
30701,TIXC,888733102,TIX CORP,925956
30714,TESS,872386107,TESSCO TECHNOLOGIES INC,927355
30721,GSSC,381430602,GOLDMAN SACHS ACT US EQU ETF,
30736,OKTA,679295105,OKTA INC,1660134
30739,CWAI,863418109,STRONGVEST TR INC - CWA INC,
30741,COM,25460E307,DIREXION AUSPCE BR CM ST ETF,
30747,HNPIY,443304100,HUANENG POWER INTERNATIONAL,929058
30749,QYOUF,77584B107,QYOU MEDIA INC,1650287
30761,BCI,003261104,ABRDN BB ALL COM STRT K-1 FR,
30762,ARCM,042765719,ARROW RESERVE CAPIT MGNT ETF,
30763,AOIL,003261500,ABERDEEN ST BL WTI CRUD -ETF,
30766,BCD,003261203,ABRDN BL ALL COM STRT K-1 FR,
30768,DCC.,25058M109,DESJRDN 1-5 YR LD CD CT BD,
30771,GGT,36239Q109,GABELLI MULTIMEDIA TRUST INC,921671
30778,CETV,G20045202,CENTRAL EUROPEAN MEDIA,925645
30792,DCG.,25058L101,DESJARDINS 1-5 YR LAD,
30793,DFC.,25058N107,DESJARDINS CAN MLTFC CTRL VL,
30798,DCP.,25058Y103,DESJARDINS CAN PRE,
30801,DCS.,25059L100,DESJARDINS CNDN SHT TM BD ID,
30804,DCU.,25059M108,DESJARDINS CNDN UNI BD ID,
30808,DFU.,25058Q100,DESJARDINS USA MULTFCTR CNTL,
30810,NUSA,67092P110,NUVEEN ESG 1-5 YR US AGG BND,
30822,O,756109104,REALTY INCOME CORP,726728
30825,HMLSF,37991D104,GLOBAL X MARIJUANA LI SC ETF,
30830,TOCA,888846102,TOCAGEN INC,
30838,TGS,893870204,TRANSPORTADORA DE GAS DEL SU,931427
30847,SSYS,M85548101,STRATASYS LTD,1517396
30851,SPVM.1,46138E313,INVESCO S&P 500 VALUE WTMMTM,
30852,TAIL,132061862,CAMBRIA TAIL RISK ETF,
30853,XSHQ,46138G300,INVESCO S&P SMALLCAP QLT ETF,
30857,CARV,146875604,CARVER BANCORP INC,1016178
30861,KNX,499049104,KNIGHT-SWIFT TRPTN HLDGS INC,1492691
30870,AZPN,29109X106,ASPEN TECHNOLOGY INC,1897982
30874,KEP,500631106,KEPCO-KOREA ELEC POWER CORP,887225
30877,CVLG,22284P105,COVENANT LOGISTICS GROUP INC,928658
30878,JPIB,46641Q852,JPMORGAN INTL BND OPPRTN ETF,
30881,BANK.1,05583Q106,BMO GLOBAL BANKS HEDGED IDX,
30885,DISC.,05584F109,BMO GLOBAL CNSMR DTY HGD INX,
30886,STPL.,09659R105,BMO GLOBAL CSMR STPL HDG IDX,
30888,LION.1,316394105,FIDELITY SOUTHERN CORP,822662
30890,INSR.,09659P109,BMO GLOBAL INSRNC HDGD IDX,
30899,HDSN,444144109,HUDSON TECHNOLOGIES INC,925528
30907,GASXF,62931J102,NG ENERGY INTERNATIONAL CORP,1931734
30922,VEAC,92211L105,VANTAGE ENERGY ACQ CORP,1698209
30923,FTI,G87110105,TECHNIPFMC PLC,1681459
30926,ERM,33740F607,FIRST TRUST EXCHANGE-TRADED,
30927,MLLGF,625284104,MULLEN GROUP LTD,
30929,TERM,33740F706,FIRST TRUST ADR- EQTYCS MGR,
30932,NWBI,667340103,NORTHWEST BANCSHARES INC,1471265
30944,SCEYF,83615X407,SOURCE ENERGY SERVICES LTD,
30962,CADE.3,12739A100,CADENCE BANCORPORATION,1614184
30963,ICAN,26922A735,ETF SER SOLUTIONS SERENITYS,
30964,RIME,829322403,ALGORHYTHM HOLDINGS INC,923601
30970,MCLC.,56502H107,MANULIFE MLT CD LG CP ID ETF,
30972,MINT.,56502M106,MANULIFE MTFR DVL INT ID ETF,
30973,MULC.,56502J111,MANULIFE MLTFCTR US LRG CP,
30990,COF,14040H105,CAPITAL ONE FINANCIAL CORP,927628
30993,MUMC.,56502K209,MANULIFE MULTFCTR U.S. MID,
30995,VSDA,92647N667,VICTORYSHARES DIVIDEND ACCEL,
30998,EEX,29103W104,EMERALD HOLDING INC,1579214
30999,CVNA,146869102,CARVANA CO,1690820
31004,CLDR,18914U100,CLOUDERA INC,1535379
31005,NCSM,628877201,NCS MULTISTAGE HLDG INC,1692427
31006,BRAG,104833306,BRAGG GAMING GROUP,1867834
31019,TETF,301505814,EXCHANGE TRADED CONCEPTS TRU,
31028,DIMC,25432W104,DIMECO INC,898037
31029,OILU.2,74347W221,PROSHARES TRUST II - PROSHAR,
31031,OILD.2,74347Y805,PROSHARES TRUST II,
31056,IPCFF,46016U108,INTERNATIONAL PETROLEUM,
31059,ZYME,98985Y108,ZYMEWORKS INC,1937653
31060,XRF.1,83599R939,CHINA RAPID FNC- ADR -OLD,
31061,URGN,M96088105,UROGEN PHARMA LTD,1668243
31091,VERI,92347M100,VERITONE INC,1615165
31094,BHVN.1,G11196105,BIOHAVEN PHRMCUTCL HLD,1689813
31095,CDOR,20676Y403,CONDOR HOSPITALITY TR INC,929545
31099,CPHC,13811E101,CANTERBURY PARK HOLDING CORP,1672909
31102,PRTG,G7185A136,PORTAGE BIOTECH INC,1095435
31108,FPH,33833Q106,FIVE POINT HOLDINGS LLC,1574197
31109,AM,03676B102,ANTERO MIDSTREAM CORP,1623925
31112,OVID,690469101,OVID THRPUTCS INC,1636651
31126,AGT,46435G276,ISHARES MSCI ARGNTN AND GLB,
31132,ABBRF,00379L304,ABRASILVER RESOURCE CORP,1728426
31137,BSY.1,83084V106,SKY PLC,932793
31142,STM,861012102,STMICROELECTRONICS NV,932787
31146,FLQL,35473P801,FRANKLIN US LARGE CAP MF IDX,
31149,FLQM,35473P884,FRANKLIN US MID CP MLTFR IDX,
31151,FLQS,35473P876,FRANKLIN US SMALL CP MF INDX,
31154,RGUS,758943104,REGI U S INC,922330
31156,ROSEQ,777385105,ROSEHILL RESOURCES INC,1659122
31170,USAP,913837100,UNVL STAINLESS & ALLOY PRODS,931584
31177,SVRA,805111101,SAVARA INC,1160308
31178,SNVVF,85859H105,STEP ENERGY SERVICES LTD,
31183,EVIX,90274E828,VELOCITYSHARES 1X LONG VSTOX,
31196,EXIV,90274E810,VELOCITYSHARS 1X DALY INV,
31197,VMOT,02072L508,ALPHA ARCHITECT VLU MMNT,
31198,UTSL,25460E711,DIREXION SHARES ETF TR,
31199,DFEN,25460E661,DIREXION DAILY AER 3X SHARES,
31205,FMX,344419106,FOMENTO ECONOMICO MEXICANO,1061736
31206,TPOR,25460E679,DIREXION SHARES ETF TR -DX D,
31208,MEXX,25460E281,DIREXION SHA ETF TR - DRX MS,
31209,DUSL,25460E737,DIREXION DLY IND BULL 3X SHS,
31214,MIND,602566309,MIND TECHNOLOGY INC,926423
31218,STBI,864087101,STURGIS BANCORP INC,1166362
31227,NTRI,67069D108,NUTRISYSTEM INC,1096376
31231,CACG,524682101,CLEARBRIDGE ALL CP G ESG ETF,
31232,AASP,379413107,GLOBAL ACQUISITIONS CORP,930245
31236,APPN,03782L101,APPIAN CORP,1441683
31249,ALT,02155H200,ALTIMMUNE INC,1326190
31251,KREF,48251K100,KKR REAL ESTATE FIN TR INC,1631596
31252,MGY,559663109,MAGNOLIA OIL & GAS CORP,1698990
31255,TSEM,M87915274,TOWER SEMICONDUCTOR LTD,928876
31264,RGRE.,74934J104,RBC QUANT GLB REAL EST ETF,
31265,GNTY,400764106,GUARANTY BANCSHARES INC,1058867
31266,RLLMF,75601Y100,REAL MATTERS INC,
31290,GDVD.1,74255Y706,PRINCIPAL ACTIVE GLB DVD ETF,
31292,ASV,00215L104,ASV HOLDINGS INC,1690881
31294,GTHX,3621LQ109,G1 THERAPEUTICS INC,1560241
31295,FOCS,34417P100,FOCUS FINANCL PRTNR INC,1651052
31301,ELDN,28617K101,ELEDON PHARMACEUTICALS INC,1404281
31303,RODE,518416607,HARTFORD MLFTR DVRS INTL ETF,
31304,LVUS,518416706,HARTFORD ML LW VOL US EQ ETF,
31306,BTO,409735206,HANCOCK (JOHN) FINL OPPTY FD,925683
31317,BEDU,109199208,BRIGHT SCHOLAR EDUCATION,1696355
31328,MMDM,60765P103,MODERN MEDIA ACQ CORP,1767043
31331,NESR,G6375R107,NATIONAL ENERGY SERVICES REU,1698514
31337,GLGI,39807A100,GREYSTONE LOGISTICS INC,1088413
31348,MOTS,62014P504,MOTUS GI HOLDINGS INC,1686850
31355,CSML,45409B396,IQ U.S. SMALL CAP ETF,
31358,FMCB,307795104,FARMERS & MERCHANTS BANCORP,1085913
31360,FBTT,31929F109,FIRST BANKERS TRUSTSHARES,941473
31368,HAFC,410495204,HANMI FINANCIAL CORP,1109242
31370,NVOS,67011T300,NOVO INTEGRATED SCIENCES INC,1138978
31372,SGLA,82936V207,SINO GREEN LAND CORP,1433551
31382,SHAG,97717Y808,WISDOMTREE YIELD ENHANCED US,
31384,SMHI,78413P101,SEACOR MARINE HLDGS INC,1690334
31385,JUVF,482016102,JUNIATA VALLEY FINANCIAL CP,714712
31386,AGS,72814N104,PLAYAGS INC,1593548
31391,MNPP,589161108,MERCHANTS NATIONAL PPTYS INC,
31399,JPST,46641Q837,JPMORGAN ULTRA-SHORT INCOME,
31402,AGMH,G0132V105,AGM GROUP HLD INC,1705402
31405,ATNXQ,04685N202,ATHENEX INC,1300699
31418,PRPH,74345W108,PROPHASE LABS INC,868278
31421,TRRSF,89679A209,TRISURA GROUP LTD,
31422,COMG,38747R207,GRANITESHARES ETF TRUST,
31424,CYD,G21082105,CHINA YUCHAI INTERNATIONAL,932695
31426,COMB,38747R108,GRANITESHRS BB COM BD NO K-1,
31442,OMP,67420T206,OASIS MIDSTREAM PARTNR,1652133
31453,NSIT,45765U103,INSIGHT ENTERPRISES INC,932696
31457,SSTI,82536T107,SOUNDTHINKING INC,1351636
31460,UPBD,76009N100,UPBOUND GROUP INC,933036
31466,WOW,96758W101,WIDEOPENWEST INC,1701051
31471,LRGE,524682200,CLEARBRIDGE LRG CAP GRH ESG,
31476,YLDE,524682309,CLEARBRIDGE DIVIDEND STRATEG,
31477,AZTA,114340102,AZENTA INC,933974
31494,SGH,G8232Y101,SMART GLOBAL HOLDINGS INC,1616533
31507,NINE,65441V101,NINE ENERGY SERVICE INC,1532286
